"date","avg_water_temp_2.0m_flat_site","avg_water_temp_9.0m_slope_site","mean_live_coral_cover_percent","lower_conf_int","upper_conf_int","conf_int_span","num_of_species"
1997-11-30,27.3892,27.0952,23.796064,22.170556,25.501702,3.331146,52
1997-12-10,28.1171,27.7513,23.786393,22.162137,25.490707,3.32857,73
1998-01-26,29.6385,28.2415,23.736137,22.11761,25.434425,3.316815,74
1998-02-05,29.2633,28.9635,23.725718,22.108225,25.422925,3.3147,57
1998-02-24,29.4408,29.3985,23.704523,22.088984,25.3997,3.310716,73
1998-03-05,28.1502,28.1123,23.693752,22.07913,25.387979,3.308849,59
1998-04-22,28.2673,28.0473,23.638224,22.027582,25.32838,3.300798,62
1998-05-01,28.0104,27.8298,23.626796,22.016826,25.316275,3.299449,71
1998-10-10,26.8054,26.7425,23.418038,21.813132,25.103113,3.289981,59
1998-10-19,27.1692,26.9331,23.405002,21.800031,25.090223,3.290192,82
1998-11-26,28.3502,28.2304,23.352141,21.746536,25.038362,3.291826,65
1998-12-06,28.2263,28.0552,23.338755,21.732901,25.025326,3.292425,46
1999-10-15,25.8852,25.669,22.870253,21.242695,24.583587,3.340892,51
1999-11-22,26.9552,27.0202,22.811448,21.180569,24.528822,3.348253,56
1999-12-02,26.582,26.6273,22.796728,21.165037,24.515095,3.350058,63
2000-01-28,29.476,29.2719,22.708381,21.072072,24.432422,3.36035,54
2001-09-18,24.9621,24.992,21.848234,20.242767,23.543445,3.300678,63
2001-09-28,25.1084,25.0417,21.836082,20.232485,23.529287,3.296802,67
2001-11-05,27.3618,27.1527,21.78781,20.191931,23.472722,3.280791,61
2001-11-14,27.705,27.5532,21.77582,20.181924,23.4586,3.276676,45
2002-02-17,29.0499,29.0847,21.657321,20.083983,23.317948,3.233965,51
2002-07-29,23.9808,24.0244,21.459293,19.920713,23.082452,3.161739,57
2002-09-05,24.5141,24.2465,21.412838,19.881761,23.027932,3.146171,48
2002-11-01,26.0353,25.9519,21.342957,19.822291,22.946894,3.124603,74
2003-09-01,24.5065,24.4299,20.957075,19.466728,22.529601,3.062873,68
2004-01-12,30.0629,29.8852,20.775406,19.282645,22.351727,3.069082,71
2004-02-28,30.2319,29.6554,20.707805,19.212017,22.287921,3.075904,63
2004-08-27,24.2724,24.1617,20.435041,18.919886,22.038554,3.118668,85
2010-01-07,28.6669,28.6591,15.315423,13.747856,17.026445,3.278589,67
2010-01-16,28.8563,28.8856,15.285427,13.71353,17.001999,3.288469,81
2010-02-23,29.1108,29.0586,15.165578,13.575712,16.905214,3.329502,64
2010-03-24,27.7325,27.7672,15.075854,13.471866,16.833663,3.361797,74
2010-04-12,27.6639,27.5466,15.016126,13.402434,16.786449,3.384015,60
2010-10-28,26.4575,26.3904,14.394769,12.667874,16.313103,3.645229,77
2011-01-22,28.8163,28.8814,14.132682,12.352807,16.121841,3.769034,45
2011-01-31,28.534,28.4143,14.10375,12.317888,16.100985,3.783097,63
