"date","Water.Temperature..2.0m.MORFL1.Reef.Flat.Site.1_LEVEL2_value_AVG","Water.Temperature..9.0m.MORSL1.Reef.Slope.Site.1_LEVEL2_value_AVG","Depth..1.9m.MORFL1.Reef.Flat.Site.1_LEVEL1_value_AVG","Depth..9.2m.MORSL1.Reef.Slope.Site.1_LEVEL1_value_AVG","Mean.live.coral.cover..percent."
"2009-12-09",1727,1636,1.8183,9.0597,15.40548
"2009-12-19",1896,1737,1.849,9.0901,15.37545
"2009-12-28",2563,2262,1.876,9.1097,15.345431
"2010-01-07",2499,2255,1.8678,9.1009,15.315423
"2010-01-16",2606,2357,1.943,9.1789,15.285427
"2010-01-26",2147,2037,1.8701,9.1072,15.255444
"2010-02-04",2643,2283,1.763,8.9821,15.225474
"2010-02-14",2817,2498,1.8099,9.0415,15.195518
"2010-02-23",2708,2439,1.9523,9.1783,15.165578
"2010-03-05",2981,2652,1.8749,9.098,15.135653
"2010-03-14",2430,2240,2.0377,9.2848,15.105745
"2010-03-24",1831,1751,1.968,9.2124,15.075854
"2010-04-02",1622,1543,1.8771,9.1212,15.04598
"2010-04-12",1798,1659,1.8528,9.0828,15.016126
"2010-04-21",1514,1417,1.9933,9.2306,14.986291
"2010-05-01",1429,1355,1.9363,9.1722,14.956476
"2010-05-10",1193,1121,2.0441,9.2955,14.926683
"2010-05-20",1001,987,1.9767,9.2285,14.89691
"2010-05-29",1476,1343,1.8532,9.0938,14.86716
"2010-06-08",1016,974,1.9097,9.1563,14.837434
"2010-06-17",657,576,2.0277,9.2935,14.807731
"2010-06-27",469,403,1.9363,9.1831,14.778052
"2010-07-06",490,428,1.9474,9.2122,14.748399
"2010-07-16",460,412,1.8989,9.1483,14.718771
"2010-07-25",348,266,2.0006,9.2421,14.68917
"2010-08-04",572,508,1.9151,9.1644,14.659596
"2010-08-13",296,221,1.902,9.1447,14.630051
"2010-08-23",931,820,1.8879,9.1308,14.600533
"2010-09-01",715,630,1.9536,9.2162,14.571045
"2010-09-11",1116,1065,1.8641,9.1074,14.541587
"2010-09-20",1230,1169,1.882,9.1357,14.51216
"2010-09-30",1440,1367,1.9247,9.1642,14.482764
"2010-10-09",1459,1354,1.9271,9.1639,14.453399
"2010-10-19",1213,1153,1.8918,9.1341,14.424068
"2010-10-28",1283,1188,1.8778,9.124,14.394769
"2010-11-07",1338,1290,1.9067,9.1418,14.365505
"2010-11-16",1592,1476,1.8521,9.0797,14.336275
"2010-11-26",1534,1434,1.9888,9.2263,14.30708
"2010-12-05",2333,1977,1.8003,9.0403,14.27792
"2010-12-15",2813,2480,1.7964,9.034,14.248797
"2010-12-24",2182,2184,1.8897,9.1294,14.219712
"2011-01-03",2433,2208,1.9519,9.191,14.190663
"2011-01-12",2974,2675,1.8615,9.1102,14.161653
"2011-01-22",2581,2353,1.7975,9.0382,14.132682
"2011-01-31",2407,2129,2.0003,9.2305,14.10375
"2011-02-10",2085,1983,1.9067,9.1517,14.074859
"2011-02-19",2629,2339,1.8867,9.1241,14.046008
